4608,589,2400
4608,1517,2400
4608,1517,500
4608,1517,500
4608,1485,100
4608,1485,100
4608,1485,100
4608,1517,500
4608,1517,500
4608,1517,500
4584,1493,300
4560,1517,500
4560,1517,500
4560,1517,500
4536,1493,300
4512,1525,500
4512,1525,500
4512,1525,500
4476,1493,300
4448,1549,600
4448,1549,600
4448,1549,500
4424,1525,300
4400,1557,500
4400,1557,500
4400,1557,500
4360,1533,300
4328,1621,700
4328,1621,500
4328,1621,500
4296,1597,300
4264,1637,550
4264,1637,500
4264,1637,500
4240,1621,300
4224,1645,500
4224,1645,500
4224,1645,500
4198,1621,300
4176,1645,500
4176,1645,500
4176,1645,500
4144,1613,5
4144,1613,5
4144,1613,5
4144,1613,200
4176,1645,500
4176,1645,500
4176,1645,800
4048,1517,400
4016,1549,500
4016,1549,500
4016,1549,500
3992,1517,300
3976,1549,500
3976,1549,500
3976,1549,500
3944,1525,300
3920,1557,500
3920,1557,500
3920,1557,500
3896,1533,300
3872,1549,500
3872,1549,500
3872,1549,1200
4672,749,1200
4672,749,1200
4672,749,1200
4672,637,1200
4672,1517,1200
4672,1517,500
4672,1517,500
4652,1493,500
4632,1517,500
4632,1517,500
4632,1517,500
4608,1493,300
4584,1517,500
4584,1517,500
4584,1517,500
4560,1493,300
4536,1517,500
4536,1517,500
4536,1517,500
4508,1485,300
4480,1533,600
4480,1533,500
4480,1533,500
4448,1509,300
4424,1549,600
4424,1549,500
4424,1549,500
4392,1525,300
4360,1589,700
4360,1589,500
4360,1589,500
4328,1565,300
4288,1637,700
4288,1637,500
4288,1637,500
4264,1621,300
4240,1645,500
4240,1645,500
4240,1645,500
4220,1621,300
4200,1645,500
4200,1645,500
4200,1645,500
4176,1621,300
4160,1637,500
4160,1637,500
4160,1637,500
4144,1621,5
4144,1621,5
4144,1621,5
4168,1645,200
